source,target,relation
awk symbol lookup error awk undefined symbol,cccp invalid option,directed
cannot open directory dhcp,find no such file or directory,directed
cannot open directory grub d,cannot open directory dhcp,directed
cc error unrecognized command line option,no such file or directory,directed
ccppc linker input file unused because linking not done,cccp invalid option,directed
ccppc linker input file unused because linking not done,ccpentium linker input file unused because linking not done,directed
compile failed using,cc error unrecognized command line option,directed
compile failed using,fail,directed
cp cannot stat no such file or directory,cannot open directory grub d,directed
cp cannot stat no such file or directory,cc error unrecognized command line option,directed
cp cannot stat too many levels of symbolic links,jq error at stdin null null has no keys,directed
cp cannot stat too many levels of symbolic links,sed can t read no such file or directory,directed
error conflicting types for,error previous definition of was here,directed
error conflicting types for,error undeclared first use in this function,directed
error declaration of c function conflicts with,compile failed using,directed
error declaration of c function conflicts with,fail,directed
error declaration of c function conflicts with,tput no value for term and no t specified,directed
error for each function it appears in,error each undeclared identifier is reported only once,directed
error for each function it appears in,error syntax error before,directed
error gnu compilers before are not supported anymore,cccp invalid option,directed
error no match for in,cat no such file or directory,directed
error no match for in,compile failed using,directed
error no match for in,fail,directed
error no match for in,tput no value for term and no t specified,directed
error no repo found,find permission denied,directed
error no repo found,jq error at stdin null null has no keys,directed
error objects is different in vs,find permission denied,directed
error previous declaration here,fail,directed
error previous declaration of was here,cannot open directory grub d,directed
error previous declaration of was here,error conflicting types for,directed
error previous declaration of was here,error previous definition of was here,directed
error python version is not available,cc error unrecognized command line option,directed
error requested alignment is not a constant,cannot open directory dhcp,directed
error requested alignment is not a constant,error undeclared first use in this function,directed
error syntax error before,cannot open directory grub d,directed
error syntax error before,cc error unrecognized command line option,directed
error syntax error before,error each undeclared identifier is reported only once,directed
error syntax error before,error enumerator value for not integer constant,directed
error syntax error before,error requested alignment is not a constant,directed
error syntax error before,error syntax error before token,directed
error syntax error before token,error conflicting types for,directed
error syntax error before token,error requested alignment is not a constant,directed
error total count of warnings has increased when compared,cat no such file or directory,directed
error total count of warnings has increased when compared,ccpentium linker input file unused because linking not done,directed
error undeclared first use in this function,error each undeclared identifier is reported only once,directed
error undeclared first use in this function,error syntax error before token,directed
error unsupported toolchain,cccp invalid option,directed
error unsupported toolchain,ccpentium linker input file unused because linking not done,directed
error unsupported toolchain,compile failed using,directed
error unsupported toolchain,no such file,directed
fail,ccpentium linker input file unused because linking not done,directed
fail,error syntax error before,directed
fail,error syntax error before token,directed
file line column aid reference not found ccmd slots,file line column aid reference not found ccmd,directed
file line column aid reference not found ccmd slots,file line column aid reference not found cmd slots,directed
file line column aid reference not found cmd,file line column aid reference not found ccmd,directed
file line column aid reference not found cmd,file line column aid reference not found in rtrv eqptmode,directed
file line column aid reference not found cmd,tput no value for term and no t specified,directed
file line column aid reference not found cmd slots,cp cannot stat no such file or directory,directed
file line column aid reference not found cmda,file line column aid reference not found ccmd,directed
file line column aid reference not found cmda,file line column aid reference not found cmd,directed
file line column aid reference not found cmda,file line column aid reference not found in rtrv defect,directed
file line column aid reference not found cmda,file line column aid reference not found in rtrv eqptmode,directed
file line column aid reference not found cmda slots,cp cannot stat no such file or directory,directed
